分野NUM,分野,中分野
1,四則計算・逆算,計算
2,計算のくふう,計算
3,単位の計算,計算
4,和差算・分配算,和と差
5,消去算,和と差
6,つるかめ算,和と差
7,平均とのべ,和と差
8,過不足算・差集め算,和と差
9,集まり,和と差
10,年齢算,和と差
11,割合と比,割合と比
12,正比例と反比例,割合と比
13,還元算・相当算,割合と比
14,比の性質,割合と比
15,倍数算,割合と比
16,売買損益,割合と比
17,濃度,割合と比
18,仕事算,割合と比
19,ニュートン算,割合と比
20,速さ,速さ
21,旅人算,速さ
22,通過算,速さ
23,流水算,速さ
24,時計算,速さ
25,速さと比,速さ
26,角度・面積・長さ,図形
27,辺の比と面積の比・相似,図形
28,体積・表面積,図形
29,水の深さと体積,図形
30,展開図,図形
31,構成・分割,図形
32,図形・点の移動,図形
33,表とグラフ,表とグラフ
34,約数と倍数,数の性質
35,Ｎ進数,数の性質
36,約束記号・文字式,数の性質
37,整数・小数・分数の性質,数の性質
38,植木算,規則性
39,周期算,規則性
40,数列,規則性
41,方陣算,規則性
42,図形と規則,規則性
43,場合の数,場合の数
44,調べ・推定・条件の整理,調べ・推定・条件の整理
45,その他,その他
